Repair_ID,Property_ID,Repair_Category,Priority,Reported_Date,Completed_Date,Resolution_Days,Repair_Cost,Satisfaction_Score
REP001815,P1479,Roofing,Urgent,2019-06-21,2019-07-03,12,750.32,6.3
REP001816,P0257,Security,Routine,2020-08-28,31/08/2020,3,255.01,8.2
REP001817,P1184,Electrical,Routine,2024-06-19,2024-06-26,7,178.89,6.3
REP001818,P0080,Plumbing,Emergency,2025-11-27,2025-11-29,2,511.74,8.9
REP001819,P0313,Heating,Routine,2020-07-20,29/07/2020,9,580.01,7.6
REP001820,P0490,Heating,Routine,2021-02-07,10/02/2021,3,311.73,8.0
REP001821,P0092,Plumbing,Routine,14/03/2025,2025-03-22,8,315.57,7.1
REP001822,P0323,Electrical,Routine,2021-11-25,2021-11-30,5,277.81,7.7
REP001823,P1424,Electrical,Urgent,2020-09-11,2020-09-13,2,522.85,7.4
REP001824,P0311,Roofing,Routine,2018-01-25,2018-02-11,17,1105.46,6.4
REP001825,P1349,Security,Urgent,2022-03-01,05/03/2022,4,401.13,6.6
REP001826,P0879,Plumbing,Routine,2018-11-26,2018-12-11,15,187.84,6.9
REP001827,P1040,Heating,Routine,,2018-12-27,3,728.87,7.5
REP001828,P0314,Security,Routine,13/09/2018,19/09/2018,6,148.23,8.5
REP001829,P0484,Electrical,Urgent,2021-05-17,2021-05-18,1,691.72,6.9
REP001830,P1161,Damp & Mould,Urgent,2021-05-10,2021-05-27,17,1014.96,3.6
REP001831,P0456,Heating,Routine,2020-01-01,2020-01-04,3,658.88,6.3
REP001832,P0696,Roofing,Routine,2018-09-15,24/09/2018,9,333.27,8.3
REP001833,P1097,Heating,Routine,,2022-07-01,10,392.83,8.1
REP001834,P0068,Heating,Routine,2023-12-16,2023-12-20,4,491.2,9.0
REP001835,P0321,Plumbing,Routine,2018-12-08,2018-12-18,10,646.66,8.8
REP001836,P0327,Heating,Routine,2022-05-26,2022-05-31,5,691.84,7.2
REP001837,P1211,Electrical,Urgent,2022-09-13,14/09/2022,1,363.14,8.4
REP001838,P0235,Electrical,Urgent,2023-07-24,2023-07-25,1,377.32,7.4
REP001839,P1078,Electrical,Emergency,2023-04-17,2023-04-19,2,237.89,9.1
REP001840,P0883,Plumbing,Routine,2020-06-16,2020-06-18,2,670.18,8.6
REP001841,P0882,Electrical,Routine,2019-02-24,2019-03-03,7,299.4,7.5
REP001842,P1414,Electrical,Routine,2018-03-05,2018-03-09,4,160.2,6.0
REP001843,P1186,Damp & Mould,Routine,08/10/2019,2019-11-16,39,1311.11,3.4
REP001844,P0471,Heating,Routine,19/12/2025,2025-12-30,11,640.82,6.3
REP001845,P0289,Roofing,Routine,01/09/2024,2024-09-22,21,1054.24,7.2
REP001846,P1242,Roofing,Routine,2023-03-12,2023-03-25,13,385.87,7.1
REP001847,P1465,Plumbing,Routine,2022-09-22,2022-10-05,13,307.1,6.6
REP001848,P0764,Damp & Mould,Routine,2023-06-03,2023-06-14,11,911.43,
REP001849,P1097,Plumbing,Emergency,22/05/2024,2024-05-26,4,342.42,6.9
REP001850,P1048,Roofing,Routine,18/07/2025,2025-07-28,10,596.85,9.0
REP001851,P0243,Roofing,Urgent,25/05/2025,03/06/2025,9,541.89,8.4
REP001852,P0707,Damp & Mould,Emergency,2022-10-04,2022-10-12,8,915.26,3.5
REP001853,P0371,Heating,Emergency,28/02/2024,2024-02-29,1,1200.34,9.0
REP001854,P0838,Roofing,Routine,2019-10-07,2019-10-15,8,623.21,9.2
REP001855,P0723,Heating,Routine,24/12/2021,2021-12-31,7,873.56,7.3
REP001856,P0464,Heating,Routine,,2023-01-10,3,400.07,8.2
REP001857,P1018,Roofing,Urgent,2020-01-10,2020-01-20,10,875.61,7.0
REP001858,P1280,Plumbing,Urgent,24/06/2023,2023-06-28,4,370.35,9.3
REP001859,P0760,Damp & Mould,Routine,2022-01-14,07/02/2022,24,1014.17,2.6
REP001860,P1134,Heating,Emergency,2025-03-04,2025-03-06,2,1029.92,6.1
REP001861,P0917,Roofing,Urgent,14/09/2021,2021-09-27,13,1061.1,6.4
REP001862,P0884,Damp & Mould,Routine,11/10/2024,2024-11-04,24,1003.24,5.7
REP001863,P0074,Heating,Emergency,15/10/2022,16/10/2022,1,503.93,7.2
REP001864,P0472,Plumbing,Routine,08/03/2018,2018-03-14,6,553.64,8.0
REP001865,P1144,Heating,Routine,2018-01-03,2018-01-03,-5,287.86,9.0
REP001866,P0773,Damp & Mould,Routine,2021-01-19,2021-02-07,19,1102.1,5.5
REP001867,P0790,Roofing,Routine,2023-09-05,2023-09-22,17,1017.48,5.0
REP001868,P0203,Plumbing,Urgent,2020-04-10,2020-04-19,9,182.07,6.4
REP001869,P0591,Heating,Emergency,2023-12-02,07/12/2023,5,893.12,7.0
REP001870,P1334,Heating,Emergency,21/12/2022,2022-12-24,3,871.96,6.8
REP001871,P0539,Plumbing,Urgent,18/11/2020,2020-11-23,5,368.99,7.7
REP001872,P1179,Security,Routine,04/07/2020,2020-07-08,4,210.96,9.0
REP001873,P0637,Security,Routine,2024-06-14,2024-06-15,1,247.85,8.1
REP001874,P1160,Roofing,Routine,2023-06-14,2023-06-14,-1,879.78,
REP001875,P0732,Heating,Urgent,2022-12-01,03/12/2022,2,436.37,6.8
REP001876,P0609,Security,Routine,2023-08-15,2023-08-21,6,420.1,
REP001877,P1010,Damp & Mould,Urgent,15/09/2019,2019-10-03,18,1649.82,2.0
REP001878,P1093,Heating,Urgent,11/11/2023,2023-11-15,4,532.14,6.8
REP001879,P1108,Electrical,Routine,02/12/2024,2024-12-10,8,503.17,8.6
REP001880,P1163,Roofing,Urgent,2021-04-25,2021-05-07,12,502.95,9.3
REP001881,P1174,Plumbing,Urgent,01/06/2022,11/06/2022,10,806.5,7.2
REP001882,P0971,Plumbing,Routine,2018-10-18,2018-10-26,8,249.81,7.2
REP001883,P0062,Heating,Urgent,2025-11-04,2025-11-08,4,430.71,8.0
REP001884,P0211,Damp & Mould,Urgent,2022-10-17,2022-10-27,10,722.14,4.4
REP001885,P1271,Plumbing,Routine,2021-05-20,2021-05-23,3,306.44,6.7
REP001886,P1306,Plumbing,Urgent,2020-04-07,2020-04-09,2,594.13,6.5
REP001887,P1397,Security,Emergency,07/08/2025,2025-08-11,4,134.01,7.6
REP001888,P1058,Damp & Mould,Routine,2024-09-25,2024-10-25,30,785.59,3.2
REP001889,P0182,Plumbing,Emergency,2021-04-18,2021-04-19,1,588.82,9.0
REP001890,P1221,Heating,Urgent,2022-08-22,2022-08-26,4,980.97,6.6
REP001891,P0689,Roofing,Routine,2023-09-10,2023-09-30,20,402.68,5.9
REP001892,P0817,Heating,Emergency,2023-01-23,2023-01-26,3,923.5,9.3
REP001893,P0188,Heating,Urgent,2022-01-08,08/01/2022,-3,797.36,6.3
REP001894,P1320,Roofing,Routine,2019-04-11,2019-04-30,19,1109.21,6.2
REP001895,P0440,Damp & Mould,Urgent,12/01/2019,2019-01-26,14,949.37,6.6
REP001896,P0630,Plumbing,Routine,2018-01-25,2018-01-27,2,536.19,6.5
REP001897,P0815,Security,Emergency,2023-08-18,2023-08-19,1,212.6,7.8
REP001898,P0996,Plumbing,Routine,23/02/2020,2020-03-05,11,698.03,7.7
REP001899,P0415,Plumbing,Emergency,2019-11-14,2019-11-20,6,725.4,8.6
REP001900,P0787,Roofing,Routine,2020-08-20,2020-08-31,11,595.82,6.8
REP001901,P1068,Electrical,Urgent,2020-12-09,2020-12-11,2,551.15,7.0
REP001902,P0627,Security,Urgent,2021-11-10,13/11/2021,3,301.16,6.4
REP001903,P0763,Heating,Urgent,2019-01-25,2019-01-31,6,402.1,9.4
REP001904,P1346,Electrical,Urgent,2020-04-12,2020-04-13,1,291.52,7.1
REP001905,P0921,Damp & Mould,Emergency,,26/09/2024,4,744.14,3.9
REP001906,P0386,Heating,Emergency,,18/12/2020,3,619.63,8.9
REP001907,P0905,Roofing,Urgent,03/01/2021,2021-01-13,10,1201.37,7.3
REP001908,P1154,Heating,Urgent,2023-06-21,2023-06-23,2,658.56,6.3
REP001909,P0191,Plumbing,Urgent,2020-03-27,2020-04-04,8,728.07,7.2
REP001910,P0650,Heating,Urgent,2019-11-26,2019-11-26,-5,492.45,8.6
REP001911,P0327,Heating,Routine,2024-11-23,2024-11-25,2,710.53,8.6
REP001912,P1024,Heating,Routine,24/09/2025,2025-09-27,3,714.77,9.0
REP001913,P0101,Damp & Mould,Routine,2024-07-16,2024-08-15,30,740.73,2.5
REP001914,P0750,Electrical,Urgent,2018-02-28,2018-03-05,5,563.99,7.4
REP001915,P1113,Plumbing,Emergency,2024-11-26,2024-12-02,6,364.95,6.2
REP001916,P0827,Roofing,Urgent,04/11/2025,2025-11-23,19,438.55,7.9
REP001917,P1148,Damp & Mould,Routine,2024-10-20,2024-11-15,26,1080.49,3.9
REP001918,P0135,Electrical,Urgent,2022-11-02,2022-11-04,2,453.92,6.7
REP001919,P0954,Plumbing,Routine,2022-01-19,2022-01-28,9,514.92,9.2
REP001920,P1163,Roofing,Routine,14/08/2021,2021-08-22,8,920.67,8.5
REP001921,P0083,Plumbing,Urgent,2022-10-21,2022-10-22,1,268.97,7.6
REP001922,P1412,Roofing,Routine,2021-01-23,2021-02-06,14,447.17,7.5
REP001923,P0860,Plumbing,Routine,,2020-09-06,13,617.9,9.3
REP001924,P0060,Damp & Mould,Routine,01/03/2025,2025-03-18,17,1004.41,5.6
REP001925,P1150,Security,Urgent,11/02/2018,2018-02-15,4,485.05,7.0
REP001926,P1175,Heating,Emergency,2021-02-16,2021-02-19,3,551.82,8.9
REP001927,P1207,Plumbing,Emergency,,05/09/2019,3,317.38,8.7
REP001928,P0630,Heating,Routine,2020-08-21,2020-08-30,9,462.4,7.9
REP001929,P1393,Damp & Mould,Urgent,2025-05-18,2025-05-28,10,1279.48,4.0
REP001930,P0946,Heating,Routine,2025-05-05,2025-05-13,8,628.51,9.2
REP001931,P0308,Heating,Emergency,2018-11-06,2018-11-09,3,469.91,6.2
REP001932,P0819,Electrical,Routine,2020-07-24,2020-07-26,2,351.78,6.5
REP001933,P0072,Security,Emergency,2022-04-06,2022-04-08,2,320.77,8.8
REP001934,P1174,Roofing,Routine,2025-03-25,2025-04-09,15,401.56,5.4
REP001935,P0098,Plumbing,Urgent,2018-04-15,2018-04-20,5,482.75,6.3
REP001936,P0304,Roofing,Emergency,2020-02-04,07/02/2020,3,1708.57,8.3
REP001937,P0021,Electrical,Urgent,2021-10-10,2021-10-12,2,243.64,7.0
REP001938,P1369,Plumbing,Emergency,23/06/2020,2020-06-28,5,775.77,6.1
REP001939,P0738,Roofing,Urgent,2022-04-21,2022-05-01,10,1045.53,7.1
REP001940,P1026,Heating,Emergency,2018-07-07,2018-07-09,2,689.67,8.5
REP001941,P0829,Electrical,Urgent,2024-11-14,2024-11-20,6,652.52,8.5
REP001942,P1197,Roofing,Routine,07/01/2022,2022-01-16,9,1047.14,7.2
REP001943,P0588,Damp & Mould,Emergency,2022-07-04,2022-07-07,3,1751.22,3.2
REP001944,P1149,Damp & Mould,Urgent,2022-07-19,2022-07-27,8,1058.05,4.7
REP001945,P0075,Plumbing,Routine,03/05/2021,05/05/2021,2,181.71,7.2
REP001946,P0558,Security,Urgent,2021-07-09,2021-07-10,1,479.99,8.5
REP001947,P0682,Electrical,Emergency,05/02/2021,2021-02-06,1,649.31,7.3
REP001948,P1423,Plumbing,Urgent,2023-06-26,2023-06-30,4,239.69,6.0
REP001949,P1422,Plumbing,Routine,2024-02-10,2024-02-17,7,463.2,6.5
REP001950,P1118,Heating,Emergency,18/07/2022,24/07/2022,6,485.28,6.4
REP001951,P0717,Damp & Mould,Urgent,19/11/2023,14/12/2023,25,1182.1,2.0
REP001952,P0379,Heating,Urgent,,2024-12-16,3,460.21,7.3
REP001953,P0529,Heating,Urgent,,2022-02-24,-5,500.68,6.9
REP001954,P0127,Heating,Urgent,2021-12-12,2021-12-15,3,1105.73,7.0
REP001955,P1380,Heating,Routine,2020-01-11,2020-01-17,6,539.31,9.2
REP001956,P1393,Plumbing,Routine,01/06/2018,2018-06-12,11,454.87,9.0
REP001957,P0643,Plumbing,Routine,2024-07-13,2024-07-22,9,443.17,6.6
REP001958,P0940,Plumbing,Urgent,2019-11-03,2019-11-05,2,600.38,6.7
REP001959,P0912,Security,Routine,2020-09-17,2020-09-18,1,364.79,6.0
REP001960,P0625,Electrical,Routine,2024-05-18,19/05/2024,1,400.57,8.2
REP001961,P0582,Security,Urgent,13/01/2023,2023-01-17,4,396.44,6.8
REP001962,P0055,Heating,Emergency,2020-12-20,2020-12-21,1,822.01,7.8
REP001963,P0738,Plumbing,Routine,2018-04-22,2018-04-25,3,426.54,8.9
REP001964,P1223,Roofing,Routine,2019-11-06,2019-11-24,18,1039.39,7.1
REP001965,P0712,Electrical,Routine,2019-10-24,2019-10-28,4,278.32,7.6
REP001966,P0581,Roofing,Emergency,2019-05-15,2019-05-25,10,1446.6,8.1
REP001967,P1049,Roofing,Emergency,,15/12/2022,6,617.47,9.0
REP001968,P0360,Security,Routine,06/02/2023,07/02/2023,1,238.75,9.2
REP001969,P1487,Electrical,Urgent,2019-09-07,2019-09-12,5,487.01,7.6
REP001970,P0772,Roofing,Urgent,2020-01-08,2020-01-29,21,1503.12,7.0
REP001971,P1397,Security,Routine,2022-06-05,07/06/2022,2,278.27,8.9
REP001972,P1366,Electrical,Routine,2023-06-06,09/06/2023,3,123.67,8.0
REP001973,P0644,Roofing,Emergency,2018-06-10,2018-06-22,12,898.63,8.7
REP001974,P1346,Damp & Mould,Routine,2024-08-08,2024-08-27,19,1082.44,5.2
REP001975,P0153,Plumbing,Routine,2023-06-27,2023-07-07,10,435.58,8.9
REP001976,P0713,Electrical,Routine,26/05/2025,2025-06-01,6,188.06,7.4
REP001977,P1446,Heating,Urgent,2019-02-11,2019-02-18,7,602.37,6.2
REP001978,P0374,Heating,Routine,2019-02-06,06/02/2019,-3,317.29,9.0
REP001979,P0924,Heating,Urgent,,22/01/2019,-1,652.07,6.9
REP001980,P1418,Plumbing,Routine,11/11/2020,2020-11-18,7,346.39,8.2
REP001981,P0282,Security,Routine,2020-01-04,2020-01-07,3,499.75,9.1
REP001982,P0889,Electrical,Urgent,2019-06-26,2019-06-28,2,304.69,6.2
REP001983,P0984,Roofing,Routine,2021-08-28,28/08/2021,-5,995.37,6.0
REP001984,P1458,Plumbing,Emergency,,2019-02-19,1,661.28,7.0
REP001985,P0414,Security,Routine,2021-06-08,2021-06-09,1,247.41,8.3
REP001986,P0137,Heating,Urgent,2019-12-14,2019-12-22,8,580.97,6.8
REP001987,P0420,Roofing,Routine,2024-09-18,2024-09-30,12,716.55,8.1
REP001988,P0561,Plumbing,Routine,2021-02-20,2021-02-27,7,374.18,6.6
REP001989,P0526,Roofing,Routine,2022-10-07,2022-10-15,8,744.03,6.9
REP001990,P0346,Roofing,Urgent,2025-08-04,19/08/2025,15,719.96,6.8
REP001991,P0157,Plumbing,Urgent,,2019-01-19,2,540.0,8.6
REP001992,P0584,Electrical,Routine,,2022-05-28,5,253.0,8.4
REP001993,P1423,Heating,Routine,2019-11-19,2019-11-25,6,546.85,7.8
REP001994,P0182,Plumbing,Urgent,2018-01-01,2018-01-11,10,782.61,7.5
REP001995,P0912,Damp & Mould,Urgent,2023-06-14,15/07/2023,31,1439.1,3.1
REP001996,P0412,Damp & Mould,Urgent,22/10/2019,2019-11-17,26,1649.92,2.8
REP001997,P0396,Roofing,Routine,2023-10-08,2023-10-18,10,442.27,8.3
REP001998,P0041,Plumbing,Routine,2024-08-05,10/08/2024,5,645.17,7.8
REP001999,P0296,Damp & Mould,Routine,2018-08-13,2018-08-24,11,941.51,4.3
REP002000,P0093,Plumbing,Urgent,2025-08-14,2025-08-24,10,564.75,7.3
REP002001,P0996,Roofing,Urgent,25/04/2025,11/05/2025,16,880.88,5.7
REP002002,P0893,Heating,Urgent,2020-08-08,2020-08-12,4,814.78,7.9
REP002003,P0007,Electrical,Routine,2024-09-17,24/09/2024,7,437.61,9.4
REP002004,P0470,Damp & Mould,Emergency,2022-05-05,2022-05-11,6,999.27,5.1
REP002005,P0029,Heating,Urgent,2022-01-04,2022-01-11,7,876.81,8.7
REP002006,P0128,Heating,Urgent,,2025-01-28,2,928.26,6.1
REP002007,P1097,Roofing,Urgent,2018-03-24,06/04/2018,13,864.88,6.0
REP002008,P0978,Plumbing,Emergency,05/08/2025,2025-08-06,1,1029.19,6.8
REP002009,P0894,Security,Emergency,2023-12-02,2023-12-03,1,299.68,6.2
REP002010,P1017,Roofing,Routine,2019-03-15,2019-03-25,10,628.57,7.8
REP002011,P0493,Roofing,Routine,2025-03-01,2025-03-10,9,793.44,6.9
REP002012,P1135,Heating,Routine,08/11/2022,2022-11-10,2,372.62,6.5
REP002013,P1369,Heating,Routine,2021-01-11,2021-01-23,12,595.03,7.0
REP002014,P0131,Heating,Routine,2019-10-12,2019-10-24,12,304.48,8.5
REP002015,P0877,Security,Routine,2022-06-01,2022-06-06,5,265.25,6.2
REP002016,P0416,Plumbing,Emergency,10/02/2023,2023-02-12,2,843.48,9.4
REP002017,P0268,Plumbing,Urgent,2020-02-05,2020-02-07,2,610.55,6.7
REP002018,P0080,Roofing,Routine,26/10/2025,13/11/2025,18,786.73,5.4
REP002019,P1318,Heating,Routine,2023-03-02,2023-03-10,8,569.49,6.0
REP002020,P0164,Damp & Mould,Urgent,2018-10-17,02/11/2018,16,1233.57,3.6
REP002021,P0347,Electrical,Routine,2019-05-03,2019-05-07,4,203.27,7.8
REP002022,P0389,Security,Urgent,2023-07-04,2023-07-10,6,148.48,8.3
REP002023,P0862,Plumbing,Routine,06/09/2018,2018-09-09,3,350.07,8.6
REP002024,P1058,Plumbing,Routine,2021-11-24,2021-11-26,2,231.39,6.2
REP002025,P1330,Electrical,Routine,2024-01-06,2024-01-07,1,353.41,7.4
REP002026,P1118,Heating,Urgent,2024-03-18,22/03/2024,4,330.44,7.8
REP002027,P1215,Plumbing,Emergency,16/09/2024,2024-09-19,3,497.95,9.2
REP002028,P1298,Damp & Mould,Urgent,23/01/2022,2022-02-13,21,451.04,1.9
REP002029,P0314,Security,Routine,2018-02-10,2018-02-14,4,428.43,8.9
REP002030,P0688,Roofing,Urgent,22/07/2024,04/08/2024,13,374.44,6.9
REP002031,P0665,Heating,Urgent,2021-11-25,2021-11-28,3,505.23,6.2
REP002032,P1215,Heating,Routine,22/05/2022,2022-05-30,8,413.92,7.8
REP002033,P0252,Heating,Emergency,06/11/2022,2022-11-08,2,722.64,
REP002034,P0721,Damp & Mould,Routine,2023-01-20,2023-02-10,21,666.51,5.6
REP002035,P0136,Electrical,Urgent,2023-08-24,2023-08-28,4,218.03,8.8
REP002036,P1039,Electrical,Urgent,2021-11-26,27/11/2021,1,522.89,6.1
REP002037,P0514,Heating,Urgent,2025-11-11,16/11/2025,5,727.99,6.7
REP002038,P0466,Damp & Mould,Routine,2025-12-05,2026-01-03,29,749.81,3.7
REP002039,P0802,Roofing,Routine,11/02/2018,2018-03-03,20,688.56,6.1
REP002040,P1447,Electrical,Urgent,2025-09-23,27/09/2025,4,260.82,8.4
REP002041,P0355,Electrical,Urgent,03/01/2022,2022-01-04,1,564.64,6.4
REP002042,P0259,Electrical,Routine,2019-04-25,2019-04-27,2,460.08,6.5
REP002043,P1221,Heating,Urgent,2019-02-21,2019-03-02,9,1097.91,7.0
REP002044,P0916,Heating,Urgent,2025-10-07,2025-10-09,2,645.01,6.3
REP002045,P1401,Heating,Emergency,2020-12-15,17/12/2020,2,852.84,8.4
REP002046,P1107,Plumbing,Urgent,09/07/2021,2021-07-12,3,719.27,6.1
REP002047,P0657,Roofing,Routine,2022-01-27,2022-02-03,7,329.26,8.4
REP002048,P0684,Electrical,Routine,2019-11-19,2019-11-27,8,590.08,8.0
REP002049,P1101,Damp & Mould,Urgent,28/12/2018,2019-01-20,23,1249.74,4.8
REP002050,P1493,Electrical,Routine,2021-09-03,2021-09-03,0,263.33,6.0
REP002051,P1393,Heating,Routine,2024-02-10,2024-02-17,7,840.39,8.9
REP002052,P0047,Heating,Routine,2022-11-25,2022-12-02,7,213.59,9.5
REP002053,P0453,Damp & Mould,Routine,28/05/2019,2019-06-16,19,920.6,1.6
REP002054,P1245,Heating,Routine,20/02/2018,2018-02-28,8,627.65,8.2
REP002055,P0310,Heating,Emergency,2023-10-22,2023-10-27,5,635.14,6.6
REP002056,P1313,Security,Routine,2021-12-28,30/12/2021,2,97.83,7.1
REP002057,P0304,Electrical,Urgent,2023-06-12,2023-06-13,1,735.99,6.1
REP002058,P0614,Heating,Routine,2021-11-21,2021-11-30,9,640.0,7.0
REP002059,P0783,Plumbing,Emergency,2019-02-17,2019-02-18,1,405.94,6.6
REP002060,P0261,Heating,Urgent,2019-04-19,2019-04-22,3,1007.31,7.0
REP002061,P0282,Damp & Mould,Urgent,2019-07-28,2019-08-06,9,1467.47,5.7
REP002062,P1029,Electrical,Routine,2020-11-18,2020-11-20,2,447.45,8.5
REP002063,P1280,Roofing,Urgent,14/08/2019,2019-08-21,7,1217.18,6.4
REP002064,P0234,Roofing,Routine,,2018-03-04,10,1246.62,8.4
REP002065,P0057,Plumbing,Routine,2024-03-21,2024-03-31,10,503.33,6.7
REP002066,P1154,Security,Routine,2020-06-21,2020-06-28,7,446.86,7.2
REP002067,P0872,Plumbing,Routine,2020-08-27,2020-08-27,-2,177.04,7.6
REP002068,P0339,Plumbing,Routine,2025-01-15,2025-01-26,11,370.27,7.7
REP002069,P0375,Security,Routine,,10/12/2020,5,174.59,8.6
REP002070,P1345,Plumbing,Routine,2019-06-26,2019-07-05,9,325.56,7.8
REP002071,P0681,Roofing,Routine,,2020-12-28,13,1063.42,8.6
REP002072,P0991,Heating,Emergency,2019-01-27,2019-01-28,1,617.41,7.0
REP002073,P1232,Electrical,Routine,2021-04-04,2021-04-05,1,398.53,7.2
REP002074,P0693,Electrical,Emergency,2021-05-09,2021-05-10,1,720.79,6.3
REP002075,P1241,Roofing,Routine,2022-05-25,2022-06-17,23,605.6,8.1
REP002076,P1215,Heating,Urgent,25/12/2019,2020-01-01,7,980.41,8.0
REP002077,P0553,Security,Urgent,20/03/2021,25/03/2021,5,591.49,7.0
REP002078,P1229,Roofing,Urgent,28/01/2021,2021-02-06,9,888.17,9.4
REP002079,P1381,Plumbing,Urgent,18/04/2024,2024-04-27,9,657.6,8.5
REP002080,P0713,Damp & Mould,Emergency,2022-07-06,2022-07-19,13,1862.79,6.6
REP002081,P0456,Heating,Routine,11/12/2021,2021-12-12,1,414.35,9.1
REP002082,P0827,Electrical,Routine,2022-07-24,2022-08-04,11,180.62,8.5
REP002083,P0972,Roofing,Urgent,13/11/2019,2019-11-20,7,1251.5,8.4
REP002084,P0028,Plumbing,Urgent,2023-06-17,22/06/2023,5,520.56,8.0
REP002085,P0575,Roofing,Routine,2020-04-10,2020-04-20,10,487.94,6.3
REP002086,P1018,Electrical,Urgent,10/11/2025,11/11/2025,1,409.11,6.4
REP002087,P0979,Heating,Routine,2022-01-02,2022-01-07,5,763.19,7.5
REP002088,P0634,Electrical,Routine,2018-11-22,2018-11-29,7,407.62,7.3
REP002089,P0926,Security,Urgent,2018-04-28,2018-05-01,3,181.81,7.9
REP002090,P1274,Security,Emergency,2025-04-14,2025-04-16,2,452.51,6.2
REP002091,P1001,Security,Urgent,,2025-03-30,4,140.17,8.4
REP002092,P0962,Electrical,Urgent,2018-03-06,11/03/2018,5,191.68,9.0
REP002093,P1489,Plumbing,Urgent,2022-10-03,2022-10-10,7,731.99,7.1
REP002094,P0697,Security,Urgent,2019-09-08,09/09/2019,1,124.93,8.6
REP002095,P0020,Plumbing,Routine,25/09/2018,2018-10-01,6,332.76,7.4
REP002096,P1239,Plumbing,Routine,2019-02-02,2019-02-06,4,356.2,7.3
REP002097,P0530,Heating,Urgent,,2024-11-20,7,388.71,7.4
REP002098,P0859,Heating,Routine,26/05/2018,2018-06-07,12,757.18,8.3
REP002099,P1071,Damp & Mould,Urgent,2022-12-28,2023-01-06,9,1130.46,5.2
REP002100,P0471,Plumbing,Urgent,2022-11-09,15/11/2022,6,692.85,6.1
REP002101,P1336,Heating,Emergency,2023-03-13,2023-03-14,1,758.94,8.9
REP002102,P0890,Heating,Urgent,2019-02-07,14/02/2019,7,1061.31,6.8
REP002103,P0722,Plumbing,Routine,2024-10-25,2024-11-06,12,669.38,
REP002104,P0245,Security,Urgent,2020-04-24,2020-04-26,2,456.53,9.4
REP002105,P0661,Electrical,Routine,2019-04-21,27/04/2019,6,282.55,8.3
REP002106,P0758,Plumbing,Routine,04/04/2023,2023-04-18,14,506.86,
REP002107,P0084,Electrical,Urgent,2022-05-08,2022-05-13,5,253.36,8.3
REP002108,P0232,Security,Urgent,2024-04-08,2024-04-10,2,480.88,9.0
REP002109,P0045,Heating,Urgent,2022-02-08,2022-02-09,1,938.66,6.1
REP002110,P0820,Damp & Mould,Routine,2023-12-17,2023-12-27,10,833.17,3.4
REP002111,P0457,Plumbing,Emergency,2019-05-26,2019-05-28,2,469.96,6.7
REP002112,P0776,Security,Routine,13/12/2024,17/12/2024,4,507.97,
REP002113,P1012,Plumbing,Urgent,17/04/2022,2022-04-26,9,687.85,7.6
REP002114,P0714,Plumbing,Routine,2023-11-17,2023-11-29,12,199.11,6.9
REP002115,P1406,Roofing,Routine,2022-12-17,2022-12-17,-1,806.6,8.9
REP002116,P0753,Roofing,Routine,2021-11-23,2021-12-16,23,726.63,
REP002117,P0982,Damp & Mould,Routine,2024-06-10,2024-07-12,32,1403.76,4.9
REP002118,P1498,Plumbing,Routine,2024-04-09,2024-04-19,10,669.1,7.7
REP002119,P0910,Electrical,Routine,2018-06-21,2018-06-26,5,254.98,6.9
REP002120,P0531,Plumbing,Urgent,25/02/2021,2021-02-26,1,420.69,8.8
REP002121,P0573,Roofing,Urgent,,2025-02-16,7,1115.91,9.4
REP002122,P0822,Plumbing,Routine,28/03/2024,2024-04-04,7,601.11,8.6
REP002123,P0849,Plumbing,Urgent,2025-09-13,2025-09-20,7,616.39,6.5
REP002124,P0568,Plumbing,Urgent,2023-05-16,2023-05-26,10,777.69,6.4
REP002125,P1051,Heating,Urgent,2020-09-19,2020-09-20,1,315.57,6.0
REP002126,P0042,Plumbing,Routine,2021-03-16,2021-03-19,3,615.81,7.1
REP002127,P0873,Heating,Routine,2025-02-17,2025-02-23,6,782.99,7.6
REP002128,P1261,Security,Routine,2024-03-21,2024-03-28,7,266.6,6.3
REP002129,P0473,Electrical,Urgent,2022-01-27,2022-01-29,2,163.63,9.2
REP002130,P1161,Electrical,Routine,2021-06-21,2021-06-25,4,509.88,8.7
REP002131,P1252,Roofing,Routine,2020-09-16,02/10/2020,16,617.49,7.5
REP002132,P1322,Heating,Routine,28/11/2022,2022-12-03,5,398.05,9.4
REP002133,P1231,Electrical,Urgent,2018-03-01,04/03/2018,3,341.93,8.0
REP002134,P1039,Plumbing,Routine,17/12/2022,2022-12-21,4,476.73,9.4
REP002135,P0073,Heating,Emergency,2022-02-25,2022-02-27,2,997.0,9.1
REP002136,P0945,Plumbing,Urgent,2020-12-02,2020-12-08,6,450.9,8.2
REP002137,P0099,Plumbing,Emergency,12/10/2018,2018-10-15,3,390.76,7.8
REP002138,P0928,Electrical,Routine,2025-02-04,2025-02-13,9,522.36,9.0
REP002139,P0129,Damp & Mould,Urgent,2019-09-18,2019-10-15,27,579.29,4.9
REP002140,P0956,Electrical,Emergency,19/02/2025,21/02/2025,2,479.55,6.6
REP002141,P0530,Security,Routine,2019-10-25,27/10/2019,2,437.57,
REP002142,P0009,Roofing,Routine,14/05/2019,2019-06-02,19,452.42,7.5
REP002143,P1329,Plumbing,Routine,2019-12-28,04/01/2020,7,295.24,7.3
